clip,group,verdict,description,clip_path,montage
VID-20250924-WA0017_clip_023.mp4,panic_ambiguous,not_panic,MIXED: news-anchor DESK interview (no crowd) + post-crush aftermath; desk clips = not panic,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0017_clip_023.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20250924-WA0017.png
VID-20250924-WA0017_clip_026.mp4,panic_ambiguous,not_panic,MIXED: news-anchor DESK interview (no crowd) + post-crush aftermath; desk clips = not panic,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0017_clip_026.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20250924-WA0017.png
VID-20250924-WA0017_clip_029.mp4,panic_ambiguous,not_panic,MIXED: news-anchor DESK interview (no crowd) + post-crush aftermath; desk clips = not panic,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250924-WA0017_clip_029.mp4,outputs_improved/panic_subfolders/panic_ambiguous/VID-20250924-WA0017.png
VID-20251025-WA0003_clip_003.mp4,panic_dense_crush,not_panic,Doha News OUTRO CARD (logo/like-comment-share) - no people,/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20251025-WA0003_clip_003.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20251025-WA0003.png
VID-20250923-WA0016_clip_001.mp4,panic_dense_crush,unsure,"4am Mumbai packed night street, police, heavy motion blur (dense/urgent, crush-vs-crowded unclear)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0016_clip_001.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0016.png
VID-20250923-WA0023_clip_001.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_001.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_002.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_002.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_003.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_003.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_004.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_004.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
VID-20250923-WA0023_clip_005.mp4,panic_dense_crush,unsure,"Lalbaug ""police security"": extreme dense temple surge, managed (crush-level density, orderly)",/Users/harinihegde/Downloads/crowd_panic/Panic/VID-20250923-WA0023_clip_005.mp4,outputs_improved/panic_subfolders/panic_dense_crush/VID-20250923-WA0023.png
